treatment,position,freeze.time,cumulative.freeze.number,total.time.between.freezes,recovery,total.time.before.dissection.hrs,sam.num,rel.dens
C,H,2,4,72,2,82,1,0.365998423
C,H,2,4,72,2,82,1,0.454164214
C,H,2,4,72,2,82,2,0.596949799
C,H,2,4,72,2,82,2,0.428775494
C,H,2,4,72,2,82,5,0.906441872
C,H,2,4,72,2,82,5,0.872906269
C,H,2,4,72,2,82,6,0.86879993
C,H,2,4,72,2,82,6,0.694413232
C,H,2,4,72,2,82,2,0.51091212
C,H,2,4,72,2,82,5,0.356278516
C,H,2,4,72,2,82,6,0.602260526
C,H,2,4,72,2,82,1,0.298385773
E,H,2,4,72,2,82,4,0.291121903
E,H,2,4,72,2,82,4,0.411565627
E,H,2,4,72,2,82,8,0.080279602
E,H,2,4,72,2,82,8,0.075628918
E,H,2,4,72,2,82,9,0.819526925
E,H,2,4,72,2,82,9,0.569426403
E,H,2,4,72,2,82,10,0.649503994
E,H,2,4,72,2,82,10,0.415749022
E,H,2,4,72,2,82,8,0.113119534
E,H,2,4,72,2,82,9,0.279607221
E,H,2,4,72,2,82,10,0.345408307
E,H,2,4,72,2,82,4,0.496142271
E,H,2,4,72,2,,5,0.527056646
E,H,2,4,72,2,,5,0.564856738
E,H,2,4,72,2,,5,0.316628072
C,L,2,4,72,2,82,2,0.122317686
C,L,2,4,72,2,82,2,0.063456445
C,L,2,4,72,2,82,3,0.217157382
C,L,2,4,72,2,82,3,0.069597651
C,L,2,4,72,2,82,5,0.721841973
C,L,2,4,72,2,82,5,0.613591304
C,L,2,4,72,2,82,6,0.799929769
C,L,2,4,72,2,82,6,0.63036541
C,L,2,4,72,2,82,3,0.204303685
C,L,2,4,72,2,82,6,0.661358266
C,L,2,4,72,2,82,2,0.662959986
E,L,2,4,72,2,82,4,0.094716308
E,L,2,4,72,2,82,4,0.241171277
E,L,2,4,72,2,82,5,0.36496505
E,L,2,4,72,2,82,5,0.25327355
E,L,2,4,72,2,82,7,0.745697031
E,L,2,4,72,2,82,7,0.705065974
E,L,2,4,72,2,82,8,0.86625406
E,L,2,4,72,2,82,8,0.695132365
E,L,2,4,72,2,82,5,0.473081746
E,L,2,4,72,2,82,8,0.691821638
E,L,2,4,72,2,82,4,0.524607003
E,L,2,4,72,2,,6,0.505820467
E,L,2,4,72,2,,6,0.558358967
E,L,2,4,72,2,,6,0.156188435
C,H,8,1,0,2,10,1,0.255011829
C,H,8,1,0,2,10,1,0.452104179
C,H,8,1,0,2,10,2,0.069688625
C,H,8,1,0,2,10,2,0.05142449
C,H,8,1,0,2,10,4,0.898472478
C,H,8,1,0,2,10,4,0.861521866
C,H,8,1,0,2,10,2,0.301541025
C,H,8,1,0,2,10,3,0.290220194
C,H,8,1,0,2,10,4,0.701780164
C,H,8,1,0,2,10,1,0.780355677
E,H,8,1,0,2,10,2,0.292076537
E,H,8,1,0,2,10,2,0.264935256
E,H,8,1,0,2,10,8,0.363863588
E,H,8,1,0,2,10,8,0.193635426
E,H,8,1,0,2,10,9,0.7751384
E,H,8,1,0,2,10,9,0.890886716
E,H,8,1,0,2,10,12,0.810464402
E,H,8,1,0,2,10,12,0.762056722
E,H,8,1,0,2,10,8,0.379841733
E,H,8,1,0,2,10,9,0.208986312
E,H,8,1,0,2,10,12,0.646001695
E,H,8,1,0,2,10,2,0.715950752
E,H,8,1,0,2,,11,0.180604939
E,H,8,1,0,2,,11,0.430958063
E,H,8,1,0,2,,11,0.185255591
C,L,8,1,0,2,10,1,0.274146018
C,L,8,1,0,2,10,1,0.242017363
C,L,8,1,0,2,10,2,0.354289345
C,L,8,1,0,2,10,2,0.309538925
C,L,8,1,0,2,10,3,0.452843483
C,L,8,1,0,2,10,3,0.654474602
C,L,8,1,0,2,10,5,0.749758581
C,L,8,1,0,2,10,5,0.782327296
C,L,8,1,0,2,10,2,0.281438337
C,L,8,1,0,2,10,5,0.760197267
C,L,8,1,0,2,10,1,0.641434441
E,L,8,1,0,2,10,2,0.321587183
E,L,8,1,0,2,10,2,0.277920836
E,L,8,1,0,2,10,4,0.286422368
E,L,8,1,0,2,10,4,0.283429887
E,L,8,1,0,2,10,10,0.58389532
E,L,8,1,0,2,10,10,0.636767622
E,L,8,1,0,2,10,11,0.390044772
E,L,8,1,0,2,10,11,0.298620163
E,L,8,1,0,2,10,4,0.471099786
E,L,8,1,0,2,10,11,0.244066578
E,L,8,1,0,2,10,2,0.775544837
E,L,8,1,0,2,,3,0.375042618
E,L,8,1,0,2,,3,0.554916955
E,L,8,1,0,2,,3,0.335361006
C,H,2,4,72,20,100,1,0.24234844
C,H,2,4,72,20,100,4,0.822519997
C,H,2,4,72,20,100,7,0.48968493
C,H,2,4,72,20,100,1,0.140857976
C,H,2,4,72,20,100,3,0.12388415
C,H,2,4,72,20,100,4,0.129559231
C,H,2,4,72,20,100,4,0.137044363
