position,freeze.time,recovery,number,ub,log.ub,hsp,log.hsp
L,2,20,1,1.085582076,0.118468806,1.484274891,0.569758307
L,8,20,1,0.812307033,-0.299902959,0.349883379,-1.515053963
H,8,2,2,0.973025686,-0.039450205,0.9101456,-0.135830737
L,8,2,2,0.913781485,-0.130078883,0.916291129,-0.126122042
L,2,20,2,0.822934525,-0.281150444,0.947478685,-0.077834607
H,8,20,2,0.988648849,-0.016469903,0.224113784,-2.15769671
L,8,20,2,0.93948717,-0.090054636,0.579421209,-0.787315602
H,2,20,3,1.076591341,0.106470726,1.05277766,0.07420078
L,2,2,4,0.855185768,-0.225690251,0.661889352,-0.595338032
L,8,2,4,0.900649196,-0.150962812,0.69365706,-0.527705516
H,2,20,4,0.971210473,-0.042144115,1.811363649,0.85707621
L,2,20,4,0.932212889,-0.101268635,3.4731231,1.796233546
L,2,20,6,1.237124305,0.306990468,3.24722827,1.699208805
L,2,2,7,0.87462053,-0.193270882,1.673882554,0.743198306
H,2,20,7,0.955439451,-0.065763647,1.689883355,0.756923668
H,8,20,7,0.920880296,-0.11891446,2.206143181,1.141526426
L,8,20,7,0.949734302,-0.074404135,1.363662373,0.447486494
H,2,2,8,0.880320878,-0.183898612,0.15469637,-2.692488755
L,2,2,8,1.008457372,0.012150102,1.733159565,0.793404483
H,8,2,8,1.051296531,0.072169657,0.670181978,-0.577375204
H,2,2,9,0.95076045,-0.072846204,0.959454806,-0.059713243
H,8,2,9,0.89485848,-0.160268554,1.340599853,0.422878681
H,2,20,9,1.045576494,0.064298612,2.071256302,1.050506087
H,2,2,10,0.751960603,-0.411271018,0.811157729,-0.301945622
L,8,2,10,0.905770155,-0.142783092,1.220115962,0.287018271
L,8,2,11,0.778150276,-0.3618793,0.62154237,-0.686075352
H,8,2,12,0.967110505,-0.048247349,1.586204394,0.665578684
H,8,20,12,1.022543015,0.032161534,1.323237131,0.404071623
L,8,20,12,0.994494354,-0.007964915,1.800033284,0.848023583
L,8,2,3,0.861219531,-0.215547057,0.843169059,-0.246106169
H,2,2,4,0.801616612,-0.319015688,0.749644622,-0.415721264
L,2,2,5,0.885919511,-0.174752464,0.889071144,-0.169629226
L,2,20,5,0.947525567,-0.077763223,1.474263613,0.559994516
H,2,20,6,1.038807411,0.054928212,1.583403672,0.663029102
H,8,2,11,1.061900458,0.086648535,0.569711135,-0.811697491
H,8,20,11,0.939057564,-0.090714498,0.663768733,-0.591247422
L,8,20,11,0.87123575,-0.198864941,1.010057517,0.014437448
