treatment,position,time.frozen,recovery,sam.num,rel.dens
E,L,8,2,2,0.261860291
C,L,8,2,1,0.255675922
E,H,8,2,2,0.215664301
C,H,8,2,1,0.272402773
E,L,2,2,4,0.0434151
C,L,2,2,2,0.108288715
E,H,2,2,4,0.176648819
C,H,2,2,1,0.16768356
E,L,8,20,1,0.094301249
E,L,2,20,1,0.198605404
C,L,2,20,1,0.10206284
E,L,8,2,2,0.234439376
C,L,8,2,1,0.238412301
E,H,8,2,2,0.232379341
C,H,8,2,1,0.429186286
E,L,2,2,4,0.127501471
C,L,2,2,2,0.046277222
E,H,2,2,4,0.362676574
C,H,2,2,1,0.437132137
E,H,8,20,1,0.321586227
C,H,8,20,1,0.120659211
C,H,2,20,1,0.146483225
E,L,8,2,4,0.299724635
C,L,8,2,2,0.357000635
E,H,8,2,8,0.162762127
C,H,8,2,2,0.063461131
E,L,2,2,5,0.211904258
C,L,2,2,3,0.113916543
E,H,2,2,8,0.031264563
C,H,2,2,2,0.240584622
E,L,8,20,2,0.05227706
C,L,8,20,3,0.10823978
E,L,2,20,2,0.164456683
C,L,2,20,3,0.029019276
E,L,8,2,4,0.285334497
C,L,8,2,2,0.317514483
E,H,8,2,8,0.073327514
C,H,8,2,2,0.042139513
E,L,2,2,5,0.224347274
C,L,2,2,3,0.056741528
E,H,2,2,8,0.041464963
C,H,2,2,2,0.200857075
E,H,8,20,2,0.06055075
C,H,8,20,2,0.224307595
E,H,2,20,4,0.84572653
E,H,2,20,3,0.205023411
E,L,8,2,10,0.270659285
C,L,8,2,3,0.06391545
E,H,8,2,9,0.322294917
E,L,2,2,7,0.207851032
C,L,2,2,5,0.11645697
E,H,2,2,9,0.105485657
C,H,2,2,5,0.41348767
E,L,8,20,7,0.265374937
C,L,8,20,5,0.252793156
E,L,2,20,4,0.338097635
C,L,2,20,4,0.159939607
E,L,8,2,10,0.312504273
C,L,8,2,3,0.127845765
E,H,8,2,9,0.357352841
E,L,2,2,7,0.188897245
C,L,2,2,5,0.123060094
E,H,2,2,9,0.109386751
C,H,2,2,5,0.359677309
E,H,8,20,7,0.446229575
C,H,8,20,5,0.250153825
E,H,2,20,7,0.078826827
C,H,2,20,4,0.822519997
E,L,8,2,11,0.246773769
C,L,8,2,5,0.274953911
E,H,8,2,12,0.317092441
C,H,8,2,4,0.342112194
E,L,2,2,8,0.16679835
C,L,2,2,6,0.185804583
E,H,2,2,10,0.108067773
C,H,2,2,6,0.327188131
E,L,8,20,12,0.246115354
C,L,8,20,7,0.268062505
E,L,2,20,6,0.306382232
C,L,2,20,7,0.124045299
E,L,8,2,11,0.22679671
C,L,8,2,5,0.269315475
E,H,8,2,12,0.26050609
C,H,8,2,4,0.352150658
E,L,2,2,8,0.141309722
C,L,2,2,6,0.138163513
E,H,2,2,10,0.08719493
C,H,2,2,6,0.267697425
E,H,8,20,12,0.132725066
C,H,8,20,7,0.167063688
E,H,2,20,9,0.25219111
C,H,2,20,7,0.335835318
E,L,8,20,1,0.041661611
C,L,8,20,2,0.070743842
E,H,8,20,1,0.067993367
C,H,8,20,1,0.068964122
E,L,2,20,1,0.050236622
C,L,2,20,1,0.038992032
E,H,2,20,3,0.078914371
E,L,8,2,4,0.108198843
C,L,8,2,2,0.133236258
E,L,2,2,5,0.103992234
C,L,2,2,3,0.113659346
E,L,8,20,1,0.057351104
C,L,8,20,2,0.12486464
E,H,8,20,1,0.141441066
C,H,8,20,1,0.112036651
E,L,2,20,1,0.079800083
C,L,2,20,1,0.070012495
E,H,2,20,3,0.099125364
C,H,2,20,1,0.090712203
E,H,2,2,8,0.09212828
C,H,2,2,2,0.285381091
E,H,8,2,8,0.165889213
C,H,8,2,2,0.293294461
E,L,8,20,2,0.234278913
C,L,8,20,3,0.099037889
E,H,8,20,2,0.065264828
C,H,8,20,2,0.12358659
E,L,2,20,2,0.074092442
C,L,2,20,3,0.169609205
E,H,2,20,4,0.177196985
C,H,2,20,3,0.115899623
E,H,8,2,9,0.189347352
C,H,8,2,3,0.275590161
E,H,2,2,9,0.121007737
C,H,2,2,5,0.39188653
E,L,8,20,7,0.122213089
C,L,8,20,5,0.179441077
E,H,8,20,7,0.109010583
C,H,8,20,5,0.153601151
E,L,2,20,4,0.054710778
C,L,2,20,4,0.045412514
E,H,2,20,7,0.071714785
C,H,2,20,4,0.054042947
E,L,8,2,11,0.140450015
C,L,8,2,5,0.237645125
E,L,2,2,8,0.114096373
C,L,2,2,6,0.1174869
E,L,8,20,7,0.140096072
C,L,8,20,5,0.165583498
E,H,8,20,7,0.138005086
C,H,8,20,5,0.175134219
E,L,2,20,4,0.1767731
C,L,2,20,4,0.068154846
E,H,2,20,7,0.114382594
C,H,2,20,4,0.073749647
E,H,8,2,12,0.299406612
C,H,8,2,4,0.291325233
E,H,2,2,10,0.373438825
C,H,2,2,6,0.343147782
E,L,8,20,12,0.07672383
C,L,8,20,7,0.050955698
E,H,8,20,12,0.089406931
C,L,2,20,7,0.096239728
E,H,2,20,9,0.049615934
E,L,8,2,2,0.125178635
C,L,8,2,1,0.121695248
E,L,2,2,4,0.110664523
C,L,2,2,2,0.199937478
E,L,8,20,12,0.109165527
C,L,8,20,7,0.098549932
E,H,8,20,12,0.26746922
C,L,2,20,7,0.127879617
E,H,2,20,9,0.142599179
E,L,2,20,6,0.206347469
E,H,8,2,2,0.20629275
C,H,8,2,1,0.221668947
E,H,2,2,4,0.149110807
C,H,2,2,1,0.071846785
