treatment,position,freeze.time,recovery,number,meanden,control,rel.dens,log.2
E,H,2,2,2,1.347520159,1.557131073,0.865386467,-0.208583534
E,H,2,2,4,1.248222136,1.557131073,0.801616612,-0.319015688
E,H,2,2,8,1.460636371,1.557131073,0.938030456,-0.09229333
E,H,2,2,9,1.498568328,1.557131073,0.962390613,-0.055305524
E,H,2,2,10,1.355976696,1.557131073,0.870817312,-0.199558006
E,H,2,20,3,1.240314766,1.252063614,0.990616413,-0.01360157
E,H,2,20,4,1.191706208,1.252063614,0.951793659,-0.071279253
E,H,2,20,6,1.300652961,1.252063614,1.038807411,0.054928212
E,H,2,20,7,1.190448039,1.252063614,0.950788782,-0.072803213
E,H,2,20,9,1.306520984,1.252063614,1.043494092,0.061422433
E,H,8,2,2,1.155601107,1.187636795,0.973025686,-0.039450205
E,H,8,2,8,1.248558443,1.187636795,1.051296531,0.072169657
E,H,8,2,9,1.062766856,1.187636795,0.89485848,-0.160268554
E,H,8,2,11,1.261152056,1.187636795,1.061900458,0.086648535
E,H,8,2,12,1.14857602,1.187636795,0.967110505,-0.048247349
E,H,8,20,2,1.282397134,1.29712095,0.988648849,-0.016469903
E,H,8,20,7,1.194493124,1.29712095,0.920880296,-0.11891446
E,H,8,20,11,1.218071239,1.29712095,0.939057564,-0.090714498
E,H,8,20,12,1.326361967,1.29712095,1.022543015,0.032161534
E,L,2,2,4,1.078920262,1.261620928,0.855185768,-0.225690251
E,L,2,2,5,1.117694596,1.261620928,0.885919511,-0.174752464
E,L,2,2,7,1.103439564,1.261620928,0.87462053,-0.193270882
E,L,2,2,8,1.272290926,1.261620928,1.008457372,0.012150102
E,L,2,2,10,1.119153878,1.261620928,0.887076184,-0.172870083
E,L,2,20,1,1.385597889,1.182424615,1.171827676,0.228760429
E,L,2,20,2,1.211925255,1.182424615,1.024949277,0.035552515
E,L,2,20,4,1.250347899,1.182424615,1.057444071,0.080581361
E,L,2,20,5,1.120377554,1.182424615,0.947525567,-0.077763223
E,L,2,20,6,1.52697542,1.182424615,1.291393464,0.36892863
E,L,8,2,2,1.073859324,1.175181749,0.913781485,-0.130078883
E,L,8,2,3,1.012089475,1.175181749,0.861219531,-0.215547057
E,L,8,2,4,1.058426497,1.175181749,0.900649196,-0.150962812
E,L,8,2,10,1.064444555,1.175181749,0.905770155,-0.142783092
E,L,8,2,11,0.914468002,1.175181749,0.778150276,-0.3618793
E,L,8,20,1,1.085917126,1.33683088,0.812307033,-0.299902959
E,L,8,20,2,1.255935459,1.33683088,0.93948717,-0.090054636
E,L,8,20,7,1.269634142,1.33683088,0.949734302,-0.074404135
E,L,8,20,11,1.164694854,1.33683088,0.87123575,-0.198864941
E,L,8,20,12,1.329470762,1.33683088,0.994494354,-0.007964915
