treatment,freeze.time,number,meanden,exp/contr,log.2.fold
E,2,1,0.560156268,1.157648076,0.211196742
E,2,2,0.496662437,1.026428422,0.037633025
E,2,3,0.563137861,1.16380999,0.218855535
E,2,4,0.60489877,1.250115256,0.322061112
E,2,5,0.602774866,1.245725887,0.316986648
E,2,6,0.456728124,0.943898093,-0.083296986
E,4,1,0.446430974,1.017227118,0.024641828
E,4,2,0.355962703,0.811088244,-0.30206921
E,4,3,0.511793752,1.166161206,0.221767236
E,4,4,0.607202765,1.38355794,0.468383062
E,4,5,0.540246443,1.23099284,0.299822371
E,4,6,0.614274408,1.39967122,0.485087981
E,6,1,0.434000592,0.988903542,-0.016098288
E,6,2,0.266088858,0.606303813,-0.721887199
E,6,3,0.482179319,1.098682457,0.135774477
E,6,4,0.733794096,1.67200597,0.741579999
E,6,5,0.523114252,1.191955831,0.253330777
E,6,6,0.563603223,1.284213049,0.360884563
E,8,1,0.457194795,1.008113944,0.011658711
E,8,2,0.406543994,0.896428991,-0.157738788
E,8,3,0.297340006,0.655634336,-0.609036685
E,8,4,0.492756813,1.086528148,0.11972555
E,8,5,0.440672774,0.971682909,-0.041442502
E,8,6,0.473026242,1.043022265,0.060769954
