treatment,position,freeze.time,recovery,sample.num,meanden,control.dens,exp.div.control,log.2.fold
E,H,2,2,4,0.37040884,0.524373637,0.706383415,-0.501476625
E,H,2,2,8,0.096385001,0.524373637,0.183809777,-2.443714587
E,H,2,2,9,0.529273692,0.524373637,1.009344587,0.01341879
E,H,2,2,10,0.414215713,0.524373637,0.789924748,-0.340212873
E,H,2,20,3,0.301974412,0.289495685,1.043105054,0.060884462
E,H,2,20,4,0.239190895,0.289495685,0.826233023,-0.275379371
E,H,2,20,7,0.448324707,0.289495685,1.548640378,0.631002163
E,H,2,20,9,0.327856608,0.289495685,1.132509482,0.17952313
E,H,8,2,2,0.404657975,0.390925175,1.035128973,0.049810533
E,H,8,2,8,0.311335423,0.390925175,0.796406685,-0.328422764
E,H,8,2,9,0.627970537,0.390925175,1.606370163,0.683804378
E,H,8,2,12,0.626339728,0.390925175,1.602198498,0.680052896
E,H,8,20,1,0.349882895,0.354010351,0.98834086,-0.016919409
E,H,8,20,2,0.090146505,0.354010351,0.254643698,-1.973448081
E,H,8,20,7,0.774704382,0.354010351,2.188366467,1.129854354
E,H,8,20,12,0.480859962,0.354010351,1.358321755,0.441825261
E,L,2,2,4,0.418674734,0.414769305,1.009415906,0.013520726
E,L,2,2,5,0.336760475,0.414769305,0.811922365,-0.30058631
E,L,2,2,7,0.716860358,0.414769305,1.728335122,0.789382981
E,L,2,2,8,0.636746254,0.414769305,1.535181717,0.618409435
E,L,2,20,1,0.316961676,0.256693801,1.234785083,0.304259959
E,L,2,20,2,0.183671753,0.256693801,0.715528589,-0.482918683
E,L,2,20,4,0.688470114,0.256693801,2.682067548,1.423345572
E,L,2,20,6,0.669856048,0.256693801,2.609552881,1.383802638
E,L,8,2,2,0.444923581,0.464113303,0.958652937,-0.060919486
E,L,8,2,4,0.270512021,0.464113303,0.58285772,-0.778784342
E,L,8,2,10,0.644331043,0.464113303,1.388305482,0.473325053
E,L,8,2,11,0.289148475,0.464113303,0.623012684,-0.682666558
E,L,8,20,1,0.133966389,0.341054405,0.392800642,-1.348130808
E,L,8,20,2,0.328952589,0.341054405,0.964516464,-0.05212223
E,L,8,20,7,0.43012975,0.341054405,1.261176348,0.334770019
E,L,8,20,12,0.598644614,0.341054405,1.755276003,0.811697901
