treatment,position,freeze.time,recovery,sam.num,meanden,exp.div.control,log.2.fold
E,H,2,2,4,0.229478733,0.785310054,-0.348665728
E,H,2,2,8,0.054952602,0.188055905,-2.410766489
E,H,2,2,9,0.111960048,0.38314379,-1.384042173
E,H,2,2,10,0.189567176,0.648726821,-0.624317008
E,H,2,20,3,0.127687715,0.545260229,-0.874983166
E,H,2,20,4,0.511461758,2.184076628,1.127023474
E,H,2,20,7,0.088308069,0.377098749,-1.406985731
E,H,2,20,9,0.148135408,0.632577269,-0.66068638
E,H,8,2,2,0.218112131,0.844305654,-0.24416272
E,H,8,2,8,0.133992951,0.51868278,-0.94707562
E,H,8,2,9,0.289665037,1.121284852,0.165152828
E,H,8,2,12,0.292335048,1.131620386,0.178390072
E,H,8,20,1,0.177006887,1.141564974,0.191012975
E,H,8,20,2,0.062907789,0.405709234,-1.301481954
E,H,8,20,7,0.231081748,1.490308284,0.575610796
E,H,8,20,12,0.163200406,1.052523268,0.073852127
E,L,2,2,4,0.093860365,0.78229246,-0.354220035
E,L,2,2,5,0.180081255,1.500912646,0.585840014
E,L,2,2,7,0.198374139,1.653377263,0.725415953
E,L,2,2,8,0.140734815,1.172974184,0.230171262
E,L,2,20,1,0.10954737,1.168372175,0.224499906
E,L,2,20,2,0.119274563,1.27211708,0.347231456
E,L,2,20,4,0.189860504,2.024948031,1.017884882
E,L,2,20,6,0.256364851,2.73424692,1.451143533
E,L,8,2,2,0.207159434,0.950585585,-0.073111571
E,L,8,2,4,0.231085992,1.060376582,0.084576714
E,L,8,2,10,0.291581779,1.337971584,0.420047476
E,L,8,2,11,0.204673498,0.939178453,-0.090528784
E,L,8,20,1,0.064437988,0.454341537,-1.13815089
E,L,8,20,2,0.143277987,1.010229254,0.014682725
E,L,8,20,7,0.175894699,1.240204272,0.310577764
E,L,8,20,12,0.14400157,1.015331124,0.021950301
