Position,Time_Frozen_hrs,Temp,Culmulative_Freeze_Number,Number,Length_mm,Collection_Date,Date_of_Last_Freeze,Acclimation_time_days,Survival,Death_Time,Total.freeze.time
Low,2,-8,3,1,,Nov_14,Nov_19,3,1,,6
Low,2,-8,4,2,,Nov_14,Nov_20,3,1,,8
Low,2,-8,3,3,,Nov_14,Nov_19,3,1,,6
Low,2,-8,3,4,,Nov_14,Nov_19,3,1,,6
Low,2,-8,3,5,,Nov_14,Nov_19,3,1,,6
Low,2,-8,3,6,,Nov_14,Nov_19,3,1,,6
Low,2,-8,4,7,,Nov_14,Nov_20,3,0,Nov_22,8
Low,2,-8,4,8,,Nov_14,Nov_20,3,1,,8
Low,2,-8,3,9,30,Nov_14,Nov_19,3,1,,6
Low,2,-8,3,10,22,Nov_14,Nov_19,3,1,,6
Low,2,-8,3,11,29,Nov_14,Nov_19,3,1,,6
Low,2,-8,4,12,25,Nov_14,Nov_20,3,1,,8
Low,2,-8,4,13,26,Nov_14,Nov_20,3,1,,8
Low,2,-8,4,14,25,Nov_14,Nov_20,3,1,,8
Low,2,-8,3,15,22,Nov_14,Nov_19,3,1,,6
Low,2,-8,4,16,30,Nov_14,Nov_20,3,1,,8
Low,2,-8,4,17,20,Nov_14,Nov_20,3,1,,8
Low,2,-8,4,18,30,Nov_14,Nov_20,3,1,,8
Low,2,-8,4,19,25,Nov_14,Nov_20,3,0,Nov_30,8
Low,2,-8,3,20,25,Nov_14,Nov_19,3,1,,6
Low,2,-8,4,21,25,Nov_14,Nov_20,3,0,Nov_30,8
Low,2,-8,4,22,27,Nov_14,Nov_20,3,1,,8
Low,2,-8,3,23,24,Nov_14,Nov_19,3,1,,6
Low,2,-8,3,24,32,Nov_14,Nov_19,3,1,,6
Low,2,-8,2,A,30,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,B,32,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,C,35,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,D,30,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,E,28,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,F,29,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,G,30,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,H,33,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,I,34,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,J,28,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,K,26,Nov_14,Nov_20,5,1,,4
Low,2,-8,2,L,24,Nov_14,Nov_20,5,1,,4
Low,2,-8,1,A,34,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,B,31,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,C,25,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,D,24,Nov_14,Nov_19,5,1,,2
